normal|fighting||ghost
fighting|flying,psychic,fairy|rock,bug,dark|
flying|rock,electric,ice|fighting,bug,grass|ground
poison|ground,psychic|fighting,poison,grass,fairy|
ground|water,grass,ice|poison,rock|electric
rock|fighting,ground,steel,water,grass|normal,flying,poison,fire|
bug|flying,rock,fire|fighting,ground,grass|
ghost|ghost,dark|poison,bug|normal,fighting
steel|fighting,ground,fire|normal,flying,rock,bug,steel,grass,psychic,ice,dragon,fairy|poison
fire|ground,rock,water|bug,steel,fire,grass,ice,fairy|
water|grass,electric|steel,fire,water,ice|
grass|flying,poison,bug,fire,ice|ground,water,grass,electric|
electric|ground|flying,steel,electric|
psychic|bug,ghost,dark|fighting,psychic|
ice|fighting,rock,steel,fire|ice|
dragon|ice,dragon,fairy|fire,water,grass,electric|
dark|fighting,bug,fairy|ghost,dark|psychic
fairy|poison,steel|fighting,bug,dark|dragon
